iter	Passed	Remaining
130	24096	159843
131	24225	159298
132	24411	159134
133	24684	159527
134	24783	158796
135	25037	159064
136	25291	159318
137	25480	159158
138	25717	159299
139	25915	159195
140	26060	158768
141	26328	159082
142	26434	158419
143	26680	158599
144	26845	158296
145	27020	158050
146	27129	157423
147	27314	157243
148	27626	157787
149	27818	157636
150	28111	158058
151	28300	157889
152	28464	157577
153	28602	157130
154	28790	156952
155	29012	156965
156	29128	156403
157	29232	155781
158	29412	155569
159	29588	155340
160	29738	154974
161	29903	154687
162	30178	154964
163	30286	154388
164	30474	154219
165	30652	153999
166	30874	154002
167	31105	154046
168	31419	154495
169	31726	154901
170	32010	155187
171	32316	155567
172	32480	155268
173	32643	154964
174	32974	155451
175	33045	154713
176	33213	154432
177	33340	153965
178	33450	153422
179	33589	153020
180	33712	152544
181	33778	151819
182	33905	151372
183	34142	151412
184	34238	150834
185	34392	150514
186	34526	150106
187	34638	149610
188	34869	149627
189	35057	149454
190	35192	149060
191	35403	148989
192	35526	148550
193	35673	148209
194	35878	148113
195	36071	147968
196	36188	147508
197	36324	147131
198	36542	147086
199	36713	146852
200	36894	146661
201	37088	146517
202	37318	146515
203	37579	146635
204	37734	146337
205	37821	145778
206	38013	145625
207	38161	145305
208	38358	145176
209	38426	144557
210	38694	144692
211	38873	144492
212	38946	143901
213	39161	143837
214	39309	143526
215	39472	143271
216	39625	142981
217	39790	142734
218	39982	142586
219	40066	142054
220	40232	141813
221	40463	141803
222	40713	141857
223	40970	141932
224	41182	141851
225	41369	141681
226	41599	141658
227	41740	141333
228	41838	140861
229	41922	140347
230	42086	140107
231	42292	140002
232	42341	139382
233	42548	139281
234	42691	138975
235	42847	138710
236	43067	138651
237	43220	138379
238	43356	138052
239	43443	137570
240	43532	137098
241	43656	136743
242	43762	136328
243	44023	136399
244	44206	136228
245	44433	136190
246	44533	135762
247	44683	135490
248	44900	135422
249	45146	135440
250	45357	135351
251	45491	135030
252	45720	134992
253	45793	134495
254	45904	134114
255	46051	133838
256	46200	133568
257	46449	133588
258	46548	133176
259	46628	132711
260	46823	132577
261	47003	132399
262	47155	132142
263	47363	132042
264	47523	131811
265	47713	131660
266	47882	131452
267	48129	131457
268	48230	131065
269	48478	131072
270	48616	130781
271	48771	130536
272	48890	130195
273	49067	130011
274	49212	129742
275	49402	129592
276	49696	129712
277	49856	129483
278	49993	129194
279	50175	129021
280	50369	128881
281	50476	128517
282	50585	128162
283	50752	127952
284	50912	127728
285	51078	127518
286	51294	127431
287	51466	127235
288	51546	126815
289	51691	126555
290	51899	126449
291	51973	126017
292	52093	125699
293	52343	125696
294	52529	125537
295	52860	125722
296	53023	125507
297	53262	125471
298	53544	125533
299	53755	125429
300	53935	125251
301	54158	125174
302	54326	124968
303	54506	124790
304	54733	124720
305	54880	124468
306	55050	124266
307	55348	124354
308	55538	124197
309	55709	123998
310	55881	123801
311	56116	123744
312	56373	123734
313	56516	123473
314	56672	123239
315	56854	123064
316	57096	123017
317	57275	122836
318	57425	122590
319	57648	122502
320	57922	122521
321	58045	122220
322	58254	122099
323	58381	121808
324	58562	121628
325	58753	121471
326	58977	121381
327	59232	121354
328	59341	121028
329	59651	121109
330	59948	121164
331	60200	121127
332	60600	121383
333	60896	121427
334	61129	121347
335	61294	121130
336	61452	120900
337	61688	120821
338	61924	120742
339	62126	120598
340	62295	120390
341	62389	120035
342	62611	119928
343	62789	119737
344	62933	119483
345	63145	119356
346	63292	119106
347	63619	119194
348	63753	118920
349	63862	118601
350	64107	118535
351	64378	118514
352	64525	118265
353	64759	118177
354	65079	118243
355	65279	118090
356	65527	118022
357	65800	118000
358	66036	117908
359	66202	117692
360	66322	117397
361	66422	117064
362	66529	116748
363	66742	116616
364	67065	116676
365	67332	116635
366	67630	116648
367	67902	116615
368	68040	116350
369	68174	116081
370	68300	115797
371	68458	115569
372	68584	115287
373	68743	115063
374	68902	114837
375	69011	114530
376	69062	114127
377	69161	113806
378	69289	113531
379	69558	113489
380	69849	113482
381	70024	113285
382	70277	113215
383	70433	112987
384	70614	112799
385	70823	112656
386	71044	112532
387	71162	112245
388	71331	112040
389	71555	111919
390	71773	111790
391	71984	111649
392	72207	111526
393	72367	111305
394	72538	111102
395	72653	110814
396	72747	110495
397	72963	110361
398	73140	110169
399	73306	109959
400	73471	109748
401	73711	109650
402	73962	109566
403	74110	109331
404	74321	109188
405	74403	108855
406	74516	108570
407	74692	108377
408	74900	108230
409	75054	108005
410	75195	107762
411	75313	107485
412	75518	107334
413	75823	107324
414	76033	107180
415	76261	107059
416	76402	106817
417	76602	106657
418	76725	106390
419	76906	106204
420	77071	105996
421	77305	105882
422	77565	105803
423	77684	105533
424	77874	105360
425	78113	105251
426	78342	105129
427	78431	104819
428	78657	104692
429	78800	104457
430	78917	104185
431	79071	103964
432	79207	103720
433	79346	103479
434	79497	103256
435	79681	103074
436	79879	102911
437	80127	102811
438	80285	102597
439	80414	102345
440	80675	102262
441	80873	102098
442	81084	101950
443	81253	101750
444	81483	101625
445	81664	101440
446	81849	101258
447	82023	101064
448	82126	100782
449	82336	100633
450	82424	100334
451	82623	100171
452	82787	99966
453	82931	99736
454	83129	99572
455	83289	99363
456	83435	99136
457	83664	99009
458	83856	98837
459	83996	98604
460	84155	98394
461	84473	98369
462	84656	98186
463	84957	98140
464	85154	97973
465	85302	97750
466	85505	97589
467	85738	97463
468	85846	97195
469	86057	97043
470	86282	96907
471	86564	96835
472	86874	96792
473	87151	96712
474	87320	96512
475	87559	96388
476	87828	96298
477	87967	96064
478	88165	95896
479	88409	95776
480	88682	95688
481	88884	95523
482	89062	95331
483	89178	95075
484	89253	94774
485	89578	94739
486	89859	94657
487	90065	94494
488	90228	94288
489	90312	93998
490	90505	93823
491	90669	93618
492	90913	93495
493	91035	93247
494	91119	92960
495	91329	92802
496	91468	92573
497	91527	92262
498	91765	92133
499	91892	91892
500	92080	91713
501	92349	91613
502	92574	91470
503	92742	91270
504	92845	91006
505	93059	90852
506	93258	90683
507	93430	90488
508	93553	90245
509	93680	90007
510	93851	89810
511	94054	89645
512	94240	89463
513	94440	89296
514	94641	89128
515	94761	88884
516	94948	88704
517	95052	88446
518	95202	88231
519	95325	87992
520	95492	87794
521	95691	87625
522	95846	87416
523	96120	87315
524	96330	87156
525	96462	86926
526	96626	86725
527	96825	86556
528	97101	86454
529	97283	86270
530	97436	86059
531	97514	85783
532	97658	85565
533	97939	85467
534	98141	85300
535	98295	85091
536	98540	84961
537	98680	84740
538	98866	84559
539	98972	84309
540	99137	84111
541	99287	83900
542	99418	83672
543	99505	83409
544	99676	83215
545	99966	83122
546	100143	82934
547	100223	82665
548	100321	82413
549	100571	82286
550	100742	82093
551	100922	81908
552	101039	81672
553	101384	81619
554	101636	81492
555	102056	81498
556	102192	81276
557	102401	81113
558	102580	80926
559	102782	80757
560	102923	80540
561	103130	80375
562	103259	80149
563	103471	79988
564	103734	79866
565	103895	79665
566	104048	79458
567	104244	79284
568	104469	79132
569	104634	78934
570	104801	78739
571	105031	78590
572	105135	78347
573	105288	78140
574	105562	78024
575	105676	77789
576	105885	77624
577	106079	77449
578	106238	77247
579	106352	77014
580	106541	76834
581	106761	76677
582	106937	76488
583	107212	76370
584	107392	76184
585	107568	75995
586	107744	75806
587	107852	75569
588	107940	75320
589	108083	75108
590	108272	74929
591	108440	74735
592	108627	74555
593	108805	74368
594	108991	74187
595	109265	74065
596	109383	73838
597	109491	73604
598	109693	73434
599	109841	73227
600	109989	73021
601	110179	72842
602	110399	72684
603	110524	72463
604	110673	72258
605	110771	72019
606	110930	71821
607	111046	71595
608	111182	71383
609	111300	71159
610	111575	71035
611	111775	70863
612	111885	70635
613	112020	70423
614	112285	70292
615	112383	70057
616	112675	69943
617	112963	69825
618	113193	69671
619	113320	69454
620	113466	69249
621	113603	69038
622	113829	68882
623	114086	68744
624	114300	68580
625	114508	68412
626	114667	68215
627	114869	68043
628	115100	67888
629	115242	67681
630	115444	67510
631	115647	67339
632	115743	67105
633	115890	66902
634	116077	66721
635	116193	66500
636	116411	66338
637	116558	66135
638	116706	65932
639	116796	65698
640	116942	65494
641	117077	65286
642	117259	65103
643	117407	64902
644	117740	64802
645	117811	64559
646	118016	64389
647	118162	64187
648	118328	63995
649	118457	63784
650	118698	63633
651	118824	63421
652	118989	63230
653	119110	63015
654	119316	62846
655	119459	62643
656	119734	62509
657	119814	62274
658	120003	62095
659	120111	61875
660	120320	61707
661	120459	61503
662	120657	61329
663	120855	61155
664	121018	60964
665	121198	60781
666	121315	60566
667	121421	60347
668	121619	60173
669	121744	59963
670	121926	59781
671	122067	59580
672	122157	59354
673	122293	59150
674	122416	58941
675	122585	58754
676	122817	58596
677	122953	58393
678	123078	58185
679	123171	57962
680	123304	57759
681	123447	57560
682	123672	57399
683	123913	57246
684	124136	57084
685	124245	56870
686	124443	56696
687	124663	56533
688	124839	56349
689	124995	56157
690	125160	55968
691	125343	55788
692	125522	55606
693	125700	55424
694	125832	55221
695	125956	55015
696	126172	54849
697	126269	54632
698	126491	54469
699	126627	54269
700	126793	54081
701	126984	53905
702	127247	53758
703	127339	53540
704	127557	53375
705	127840	53236
706	128036	53061
707	128191	52870
708	128455	52722
709	128743	52585
710	128891	52390
711	129025	52190
712	129178	51997
713	129507	51875
714	129671	51687
715	129780	51477
716	130009	51314
717	130155	51119
718	130284	50917
719	130402	50712
720	130585	50531
721	130725	50334
722	131041	50205
723	131279	50045
724	131411	49845
725	131543	49646
726	131983	49561
727	132155	49376
728	132347	49199
729	132422	48978
730	132518	48765
731	132688	48579
732	132869	48398
733	133057	48219
734	133318	48067
735	133496	47884
736	133646	47692
737	133826	47510
738	134050	47344
739	134227	47161
740	134399	46976
741	134596	46800
742	134661	46578
743	134961	46438
744	135043	46222
745	135298	46066
746	135468	45881
747	135667	45706
748	135912	45546
749	136083	45361
750	136224	45166
751	136424	44990
752	136555	44793
753	136803	44633
754	137023	44464
755	137230	44291
756	137483	44132
757	137594	43928
758	137770	43745
759	137941	43560
760	138127	43380
761	138364	43216
762	138544	43034
763	138696	42843
764	138807	42640
765	138956	42448
766	139070	42246
767	139160	42038
768	139338	41855
769	139475	41661
770	139675	41485
771	139823	41295
772	139963	41101
773	140222	40943
774	140360	40749
775	140621	40591
776	140915	40443
777	141087	40258
778	141268	40077
779	141485	39906
780	141658	39722
781	141991	39583
782	142134	39390
783	142284	39200
784	142356	38989
785	142511	38800
786	142626	38601
787	142759	38407
788	142961	38231
789	143107	38041
790	143346	37875
791	143537	37696
792	143734	37519
793	143868	37325
794	144063	37148
795	144239	36966
796	144426	36786
797	144608	36605
798	144775	36420
799	145037	36259
800	145217	36077
801	145383	35892
802	145530	35702
803	145693	35517
804	145957	35356
805	146116	35169
806	146236	34973
807	146332	34772
808	146629	34618
809	146829	34441
810	146950	34246
811	147077	34052
812	147245	33868
813	147538	33712
814	147686	33523
815	147903	33350
816	148073	33167
817	148278	32990
818	148553	32830
819	148682	32637
820	148871	32457
821	149052	32276
822	149360	32122
823	149536	31939
824	149776	31770
825	149960	31589
826	150173	31414
827	150355	31233
828	150474	31038
829	150613	30848
830	150781	30664
831	150935	30477
832	151203	30313
833	151339	30122
834	151510	29939
835	151744	29768
836	151876	29576
837	152083	29400
838	152224	29211
839	152344	29018
840	152481	28828
841	152690	28652
842	152890	28474
843	153065	28291
844	153236	28108
845	153488	27939
846	153629	27751
847	153760	27560
848	153861	27365
849	153993	27175
850	154259	27008
851	154476	26833
852	154613	26645
853	154872	26476
854	155140	26310
855	155257	26118
856	155396	25929
857	155500	25735
858	155642	25547
859	155811	25364
860	155995	25183
861	156232	25011
862	156300	24812
863	156388	24616
864	156485	24422
865	156603	24231
866	156836	24059
867	156929	23864
868	157065	23677
869	157205	23490
870	157358	23305
871	157480	23116
872	157703	22941
873	157853	22756
874	158112	22587
875	158261	22402
876	158392	22214
877	158577	22034
878	158745	21852
879	158992	21680
880	159188	21502
881	159338	21317
882	159445	21127
883	159605	20943
884	159806	20765
885	159981	20584
886	160269	20417
887	160457	20237
888	160647	20058
889	160874	19883
890	161032	19699
891	161250	19523
892	161403	19339
893	161595	19160
894	161789	18980
895	161935	18796
896	162034	18605
897	162150	18418
898	162490	18255
899	162609	18067
900	162703	17877
901	162879	17696
902	163107	17520
903	163345	17346
904	163584	17171
905	163807	16995
906	164032	16819
907	164306	16647
908	164447	16462
909	164657	16284
910	164851	16105
911	164978	15919
912	165098	15732
913	165279	15551
914	165556	15379
915	165869	15210
916	166023	15027
917	166108	14837
918	166250	14653
919	166520	14480
920	166639	14293
921	166798	14110
922	167004	13932
923	167190	13751
924	167460	13577
925	167658	13398
926	167791	13213
927	167955	13031
928	168102	12847
929	168355	12671
930	168440	12483
931	168599	12301
932	168733	12116
933	168905	11935
934	169015	11749
935	169161	11566
936	169392	11389
937	169685	11215
938	169945	11040
939	170087	10856
940	170328	10679
941	170516	10498
942	170573	10310
943	170789	10131
944	170993	9951
945	171247	9775
946	171423	9593
947	171532	9408
948	171609	9222
949	171728	9038
950	171876	8855
951	172010	8672
952	172094	8487
953	172202	8303
954	172321	8119
955	172466	7937
956	172610	7755
957	172666	7569
958	172858	7390
959	172921	7205
960	172980	7020
961	173033	6835
962	173064	6649
963	173131	6465
964	173176	6281
965	173217	6096
966	173291	5913
967	173338	5730
968	173383	5546
969	173413	5363
970	173448	5180
971	173477	4997
972	173496	4814
973	173544	4632
974	173600	4451
975	173624	4269
976	173642	4087
977	173664	3906
978	173681	3725
979	173698	3544
980	173718	3364
981	173741	3184
982	173763	3005
983	173780	2825
984	173799	2646
985	173817	2467
986	173834	2289
987	173853	2111
988	173874	1933
989	173893	1756
990	173911	1579
991	173929	1402
992	173947	1226
993	173968	1050
994	173991	874
995	174009	698
996	174033	523
997	174050	348
998	174072	174
999	174091	0
999	177599	0
