iter	MultiClass
139	0.2332386502
140	0.233050477
141	0.2325046901
142	0.2323189277
143	0.2320959339
144	0.2318205615
145	0.2315650716
146	0.2313823287
147	0.2312009697
148	0.230731824
149	0.2304188184
150	0.2301850272
151	0.2299941438
152	0.2298631092
153	0.2297284928
154	0.2295161911
155	0.2292873674
156	0.2288383146
157	0.2287355396
158	0.2285566312
159	0.2283410005
160	0.2282084622
161	0.2279883127
162	0.2277835845
163	0.2276243571
164	0.2273692093
165	0.2271718272
166	0.227070961
167	0.2268332863
168	0.2265851694
169	0.2263694696
170	0.2262127324
171	0.2258435409
172	0.2254999107
173	0.2252178112
174	0.2248672855
175	0.2245731373
176	0.2244042084
177	0.2242503328
178	0.2241335458
179	0.2239934241
180	0.2238100812
181	0.2235794076
182	0.223415275
183	0.2233072545
184	0.2231967707
185	0.2230110618
186	0.2227867637
187	0.2226612451
188	0.2225071445
189	0.2222432342
190	0.2220988611
191	0.221946214
192	0.2217189502
193	0.2215242581
194	0.2213336009
195	0.2210925334
196	0.2209212038
197	0.2208198343
198	0.2207553589
199	0.220658476
200	0.2204929347
201	0.2202028618
202	0.2201083737
203	0.2200048158
204	0.2196770783
205	0.2195113192
206	0.2193775441
207	0.2192632656
208	0.2191245044
209	0.2190147093
210	0.2188940297
211	0.2187278939
212	0.2186221188
213	0.2185480754
214	0.2182747296
215	0.218143818
216	0.2180547212
217	0.2179008033
218	0.2177752579
219	0.2176443095
220	0.2175073415
221	0.2173388743
222	0.2172035806
223	0.2170658411
224	0.2169027775
225	0.2167989198
226	0.2166091659
227	0.2164745288
228	0.2163537696
229	0.2162290923
230	0.2161413908
231	0.2160313906
232	0.2158431351
233	0.2157182595
234	0.2155906372
235	0.2154167925
236	0.2152741675
237	0.2151270558
238	0.2150075543
239	0.2148813365
240	0.2148150074
241	0.2146253337
242	0.2144837349
243	0.2144098699
244	0.2142937591
245	0.2140855397
246	0.2139738714
247	0.2138665167
248	0.2137874948
249	0.213657564
250	0.2135897502
251	0.2134978539
252	0.2133980904
253	0.2132901926
254	0.2132092266
255	0.2131039962
256	0.2129770245
257	0.2128811536
258	0.2127569328
259	0.2125703318
260	0.2124884735
261	0.2123692034
262	0.2122523638
263	0.2120630438
264	0.2119943927
265	0.2118171317
266	0.2117449295
267	0.2116400021
268	0.2115026088
269	0.2114318528
270	0.2113443599
271	0.2112245583
272	0.2111180846
273	0.2110607673
274	0.2109778642
275	0.2108778845
276	0.2107927585
277	0.2106329328
278	0.2105018414
279	0.2103515696
280	0.2102674605
281	0.2101768308
282	0.2099287791
283	0.2098612269
284	0.2097831428
285	0.2096584793
286	0.2096030606
287	0.2095043463
288	0.2094460115
289	0.2093058311
290	0.2092015587
291	0.2091138865
292	0.2090360216
293	0.2089584326
294	0.2088683148
295	0.2087495512
296	0.208681347
297	0.208542203
298	0.2083859653
299	0.2083212722
300	0.2082624584
301	0.2081896674
302	0.2080855062
303	0.2079916919
304	0.2079196707
305	0.2078683657
306	0.2077527265
307	0.2075908462
308	0.2074423981
309	0.2072572875
310	0.2072240098
311	0.2071334237
312	0.206968707
313	0.2068672329
314	0.2067192391
315	0.2066440404
316	0.2065764014
317	0.2064898662
318	0.2062980423
319	0.2061845401
320	0.2061272169
321	0.2060464399
322	0.2059896436
323	0.2058803899
324	0.2058125969
325	0.205729618
326	0.2056705444
327	0.2056223026
328	0.2054874337
329	0.2054125326
330	0.2053345193
331	0.205285458
332	0.2052284901
333	0.2051447975
334	0.2050603895
335	0.2049709313
336	0.204909235
337	0.2047397406
338	0.204620716
339	0.204573078
340	0.204519665
341	0.2044705747
342	0.204408228
343	0.2043581789
344	0.2043091292
345	0.2042582091
346	0.2042234412
347	0.2040732212
348	0.2040028537
349	0.2039392503
350	0.2038627662
351	0.2037602913
352	0.203647985
353	0.2036024302
354	0.2034563426
355	0.203409423
356	0.2033257296
357	0.2032743788
358	0.2031360861
359	0.203075024
360	0.2030430489
361	0.2029566554
362	0.2028977559
363	0.2028524343
364	0.2027639813
365	0.2026999518
366	0.2026207184
367	0.2025671754
368	0.2025306456
369	0.2024547239
370	0.2023803135
371	0.2023298512
372	0.2022768763
373	0.2022190614
374	0.2021699472
375	0.2020588093
376	0.2019673163
377	0.2019153638
378	0.2018698026
379	0.2017637005
380	0.2016897655
381	0.2016234231
382	0.2015676356
383	0.2015105735
384	0.2014368543
385	0.2013802055
386	0.2013162556
387	0.2012294495
388	0.2011498679
389	0.2010850592
390	0.2009550757
391	0.2009080279
392	0.2008607413
393	0.2008108801
394	0.2007588192
395	0.2006915865
396	0.2006451132
397	0.2005788521
398	0.2005152648
399	0.2004453514
400	0.2003811742
401	0.2002954758
402	0.2002146436
403	0.2001430721
404	0.2000857119
405	0.1999885975
406	0.1999205696
407	0.1998337248
408	0.1997499826
409	0.1996700238
410	0.1995787405
411	0.1994490097
412	0.1994258902
413	0.1993783593
414	0.1992544255
415	0.1991641857
416	0.1990966988
417	0.1990357919
418	0.1989621605
419	0.1989095864
420	0.1988343592
421	0.198770517
422	0.1987373023
423	0.1986086344
424	0.1985539792
425	0.1984977217
426	0.1984383377
427	0.1984001677
428	0.1982665723
429	0.19820792
430	0.198141214
431	0.1981005386
432	0.1980605701
433	0.1979992289
434	0.1979234969
435	0.1978641706
436	0.1977753051
437	0.1977319265
438	0.1976884281
439	0.1976177794
440	0.1975535411
441	0.1975268735
442	0.1974899549
443	0.1974083801
444	0.1973562595
445	0.1973149169
446	0.1972600817
447	0.1971992957
448	0.1971569793
449	0.1970951796
450	0.197049277
451	0.1970019156
452	0.1969401141
453	0.1968884228
454	0.1968531902
455	0.1968010282
456	0.1967491175
457	0.1967055471
458	0.1966624767
459	0.1965914571
460	0.1965314035
461	0.1964697604
462	0.196415924
463	0.1963524514
464	0.1962811921
465	0.1961842841
466	0.1961731841
467	0.1961219988
468	0.196073143
469	0.1960199776
470	0.1959731971
471	0.1959404029
472	0.1958577529
473	0.1957441437
474	0.1956826875
475	0.1956453208
476	0.195598109
477	0.195540509
478	0.1955092892
479	0.19544008
480	0.1953723769
481	0.195320165
482	0.1952063164
483	0.1951416005
484	0.1950961047
485	0.1950508285
486	0.1950357311
487	0.1949888645
488	0.1949333525
489	0.1948917992
490	0.1948485825
491	0.1947975507
492	0.1947476119
493	0.1946853779
494	0.1946500331
495	0.1946101615
496	0.1945736071
497	0.1945153995
498	0.1944849225
499	0.1944541559
500	0.1944075262
501	0.1943603615
502	0.1943174017
503	0.1942508527
504	0.1941896634
505	0.1941575404
506	0.1941155435
507	0.1940799865
508	0.1940359517
509	0.194018568
510	0.1939654377
511	0.1939324507
512	0.1938904568
513	0.1938170894
514	0.1937748541
515	0.1937524868
516	0.1937019047
517	0.1936476398
518	0.1935816485
519	0.1935362568
520	0.1935013023
521	0.1934355735
522	0.1933997507
523	0.193346849
524	0.1932816277
525	0.1932524066
526	0.1931917347
527	0.1931549619
528	0.1930812603
529	0.1930512379
530	0.1930150511
531	0.1929659815
532	0.1929126318
533	0.1927847943
534	0.1927617568
535	0.19269204
536	0.1926315149
537	0.1925527315
538	0.1925311296
539	0.1924921901
540	0.1924188702
541	0.1923568819
542	0.1923282412
543	0.1922762931
544	0.1922011792
545	0.1921740964
546	0.1921206719
547	0.1920601948
548	0.1920107874
549	0.1919498759
550	0.191918487
551	0.1918809242
552	0.1917835635
553	0.1917539034
554	0.1917151228
555	0.1916671346
556	0.1916310729
557	0.19159293
558	0.1915406139
559	0.1915084557
560	0.1914676882
561	0.1914372489
562	0.1914039033
563	0.1913633882
564	0.191324814
565	0.1912856649
566	0.1912426892
567	0.1912022508
568	0.1911738797
569	0.1910985129
570	0.1910669216
571	0.190999362
572	0.1909624536
573	0.1909277615
574	0.1908826367
575	0.1908132462
576	0.190773489
577	0.1907295076
578	0.1906831562
579	0.1906527222
580	0.1906069554
581	0.1905752457
582	0.1904876434
583	0.1904628367
584	0.1904126276
585	0.1903677418
586	0.1903347269
587	0.1903067984
588	0.1902352088
589	0.1901795667
590	0.1901472456
591	0.1901051923
592	0.1900479536
593	0.1900227918
594	0.1899853263
595	0.1899527554
596	0.189914555
597	0.1898813311
598	0.189818694
599	0.1897812976
600	0.1897251178
601	0.1896790477
602	0.1896363561
603	0.1895889191
604	0.1895540421
605	0.1895308952
606	0.1895029533
607	0.1894667068
608	0.1894141461
609	0.1893841276
610	0.1893532262
611	0.1892926708
612	0.1892665027
613	0.1892152818
614	0.1891408721
615	0.1891060149
616	0.1890516012
617	0.1890164187
618	0.1889801902
619	0.1889316173
620	0.1888974222
621	0.1888728343
622	0.188827095
623	0.1887710276
624	0.1887430584
625	0.1886828727
626	0.1886272744
627	0.1885686741
628	0.188519479
629	0.1884534739
630	0.1883836402
631	0.1883448104
632	0.1883040059
633	0.1882797937
634	0.1882498029
635	0.188224887
636	0.1881545997
637	0.1881274202
638	0.188091611
639	0.1880489813
640	0.188000967
641	0.1879691099
642	0.1879385588
643	0.1879062897
644	0.187876039
645	0.1878202778
646	0.1877894169
647	0.187741305
648	0.1876739202
649	0.1876427981
650	0.1875505638
651	0.1874944251
652	0.1874745493
653	0.1874441518
654	0.18742472
655	0.1873757959
656	0.1873306253
657	0.1872728759
658	0.1872560533
659	0.1872156319
660	0.1871828537
661	0.1871431696
662	0.1871124614
663	0.187042247
664	0.1870101103
665	0.1869526725
666	0.1869193341
667	0.1868941971
668	0.186864652
669	0.1868407001
670	0.1868024052
671	0.1867789893
672	0.1867558037
673	0.1867139645
674	0.1866851876
675	0.186651519
676	0.1866149941
677	0.1865549311
678	0.1865303346
679	0.1864709929
680	0.1864144529
681	0.1863706193
682	0.1863290863
683	0.1862869801
684	0.1862559788
685	0.1862092543
686	0.1861451656
687	0.1861024131
688	0.186061192
689	0.1860072957
690	0.1859789681
691	0.18596048
692	0.1859048117
693	0.1858663376
694	0.1858352641
695	0.185803022
696	0.1857725471
697	0.1857299398
698	0.185670842
699	0.1856346201
700	0.1856037929
701	0.1855685268
702	0.1855274492
703	0.1854821891
704	0.1854612401
705	0.1854104362
706	0.1853865657
707	0.1853407764
708	0.1853010361
709	0.1852769169
710	0.1852475485
711	0.185203286
712	0.1851795114
713	0.1851580639
714	0.1851279342
715	0.1850675832
716	0.1850282973
717	0.1849873558
718	0.1849462607
719	0.1848932794
720	0.1848726856
721	0.1848235348
722	0.1847748211
723	0.1846951911
724	0.1846633463
725	0.1846370235
726	0.1845790016
727	0.1845409622
728	0.1844913737
729	0.1844572267
730	0.1844225146
731	0.184381564
732	0.1843488777
733	0.1843048115
734	0.184211566
735	0.1841795038
736	0.1841397201
737	0.1841092613
738	0.1840631098
739	0.1840168427
740	0.1839752654
741	0.1839515813
742	0.1839095325
743	0.1838622206
744	0.1838150446
745	0.1837933016
746	0.1837518958
747	0.1837145794
748	0.1836813605
749	0.1836625193
750	0.1836376258
751	0.1836073145
752	0.1835573707
753	0.1835218528
754	0.1834777687
755	0.1834479018
756	0.1834161222
757	0.1833595609
758	0.1833065373
759	0.1832712856
760	0.1832235175
761	0.1831666033
762	0.1831286087
763	0.1830756987
764	0.1830428165
765	0.1830073061
766	0.1829685691
767	0.182946342
768	0.1829206612
769	0.1828907387
770	0.1828589383
771	0.1827968165
772	0.1827839008
773	0.182753476
774	0.1826856492
775	0.182668197
776	0.1826333964
777	0.1826063258
778	0.1825807561
779	0.1825512215
780	0.1825117536
781	0.1824794215
782	0.1824582723
783	0.1824175152
784	0.1823719554
785	0.1823252389
786	0.1822796571
787	0.1822502602
788	0.1822211081
789	0.1822049556
790	0.1821789309
791	0.1821361812
792	0.1821066235
793	0.1820495979
794	0.1820190038
795	0.1819955193
796	0.1819562915
797	0.1819275737
798	0.1818993205
799	0.1818590629
800	0.1818180823
801	0.1817814358
802	0.1817475795
803	0.1817061768
804	0.1816351595
805	0.181603428
806	0.1815589905
807	0.1815440723
808	0.1814912353
809	0.1814629993
810	0.1814465766
811	0.1814089301
812	0.1813661054
813	0.1813218556
814	0.1812985857
815	0.1812843362
816	0.1812399574
817	0.1812160096
818	0.181188337
819	0.1811637075
820	0.1811092269
821	0.1810756413
822	0.1810483118
823	0.1810164844
824	0.180984454
825	0.1809500807
826	0.1809001751
827	0.180846692
828	0.1808078296
829	0.1807669041
830	0.1807180708
831	0.1806805619
832	0.180606479
833	0.1805900023
834	0.1805596656
835	0.1805326516
836	0.180499971
837	0.1804580258
838	0.1804382259
839	0.1803899976
840	0.1803462875
841	0.1803030506
842	0.1802766002
843	0.1802504985
844	0.1802246655
845	0.1801555806
846	0.1801215848
847	0.1800699221
848	0.1800512977
849	0.1800226594
850	0.1799860371
851	0.1799400784
852	0.1799163098
853	0.1798918484
854	0.1798506723
855	0.1797991296
856	0.1797900718
857	0.1797737016
858	0.1797364799
859	0.1797070791
860	0.1796820427
861	0.179643467
862	0.1796171223
863	0.1795829555
864	0.1795565305
865	0.1795002911
866	0.1794433852
867	0.1794226246
868	0.1793786831
869	0.179350509
870	0.1793000232
871	0.1792636771
872	0.1792210922
873	0.1791872851
874	0.1791615038
875	0.1791119883
876	0.1790924384
877	0.1789778773
878	0.1789447904
879	0.1789138494
880	0.1788946198
881	0.1788787922
882	0.1788486375
883	0.1788188061
884	0.1787878427
885	0.1787469684
886	0.178716356
887	0.1786894642
888	0.178647511
889	0.178619174
890	0.1785871573
891	0.1785361973
892	0.178493155
893	0.1784506642
894	0.1784061685
895	0.178378955
896	0.1783350651
897	0.1782903074
898	0.1782560975
899	0.1782139667
900	0.1781700364
901	0.1781366788
902	0.1781138354
903	0.1780876429
904	0.1780517172
905	0.1780317117
906	0.1780142085
907	0.1779857678
908	0.1779717283
909	0.1779505976
910	0.1779175882
911	0.1778589575
912	0.1778336605
913	0.1778005505
914	0.1777468336
915	0.1777148053
916	0.1776889742
917	0.1776451783
918	0.1776052468
919	0.1775819489
920	0.1775547873
921	0.1775289371
922	0.1774697514
923	0.1774299929
924	0.1774012717
925	0.1773665751
926	0.1773433099
927	0.1773282567
928	0.1773019945
929	0.1772673888
930	0.1772301803
931	0.1771971954
932	0.1771716401
933	0.1771446074
934	0.1770831132
935	0.1770614328
936	0.177017781
937	0.1769707925
938	0.1769350796
939	0.1768995391
940	0.1768842301
941	0.1768535509
942	0.1768298816
943	0.1767756198
944	0.1767536453
945	0.1767113552
946	0.1766839947
947	0.1766529013
948	0.1766177031
949	0.1765949269
950	0.1765536624
951	0.1765088913
952	0.1764739848
953	0.1764480356
954	0.1764039301
955	0.176365954
956	0.1763351123
957	0.1762978004
958	0.1762691426
959	0.1762392558
960	0.1762192622
961	0.1761970777
962	0.1761576938
963	0.1761252934
964	0.1760846706
965	0.1760454069
966	0.1760177045
967	0.1759859411
968	0.1759455233
969	0.1759155877
970	0.1758651394
971	0.1758318475
972	0.1758011879
973	0.1757723722
974	0.1757245311
975	0.1756974501
976	0.1756576425
977	0.1756347506
978	0.1755980548
979	0.1755700839
980	0.1755235732
981	0.1754967116
982	0.1754665527
983	0.1754412613
984	0.1754143981
985	0.175380055
986	0.175326262
987	0.1752975991
988	0.1752537559
989	0.1752278143
990	0.1751704076
991	0.1751255295
992	0.1750994208
993	0.1750714436
994	0.1750406193
995	0.1749941069
996	0.1749577335
997	0.1749170355
998	0.1748957219
999	0.1748544953
